acq_num,evt_num,windnum,time,data_ch2
0,23,33,1484,27.1
0,23,33,1485,29.5
0,23,33,1486,22.0
0,23,33,1487,29.1
0,23,33,1488,27.6
0,23,33,1489,28.3
0,23,33,1490,26.7
0,23,33,1491,25.4
0,23,33,1492,21.0
0,23,33,1493,25.4
0,23,33,1494,20.2
0,23,33,1495,22.9
0,23,33,1496,27.4
0,23,33,1497,27.5
0,23,33,1498,31.1
0,23,33,1499,24.3
0,23,33,1500,25.7
0,23,33,1501,26.9
0,23,33,1502,25.6
0,23,33,1503,22.5
0,23,33,1504,27.3
0,23,33,1505,26.6
0,23,33,1506,27.7
0,23,33,1507,24.8
0,23,33,1508,26.9
0,23,33,1509,30.1
0,23,33,1510,23.4
0,23,33,1511,24.3
0,23,33,1512,22.2
0,23,33,1513,25.0
0,23,33,1514,29.4
0,23,33,1515,25.3
0,23,33,1516,23.3
0,23,33,1517,29.0
0,23,33,1518,25.1
0,23,33,1519,27.0
0,23,33,1520,27.6
0,23,33,1521,27.8
0,23,33,1522,27.6
0,23,33,1523,22.7
0,23,33,1524,30.1
0,23,33,1525,28.6
0,23,33,1526,26.5
0,23,33,1527,25.7
0,23,33,1528,28.4
0,23,33,1529,27.3
0,23,33,1530,26.8
0,23,33,1531,29.4
0,23,33,1532,26.2
0,23,33,1533,26.3
0,23,33,1534,25.2
0,23,33,1535,24.3
0,23,34,1536,25.5
0,23,34,1537,26.3
0,23,34,1538,27.2
0,23,34,1539,27.2
0,23,34,1540,29.2
0,23,34,1541,31.2
0,23,34,1542,24.5
0,23,34,1543,28.3
0,23,34,1544,26.8
0,23,34,1545,26.4
0,23,34,1546,24.3
0,23,34,1547,27.6
0,23,34,1548,25.4
0,23,34,1549,27.4
0,23,34,1550,24.6
0,23,34,1551,27.5
0,23,34,1552,24.2
0,23,34,1553,29.2
0,23,34,1554,24.6
0,23,34,1555,29.0
0,23,34,1556,27.9
0,23,34,1557,24.7
0,23,34,1558,32.1
0,23,34,1559,27.2
0,23,34,1560,24.9
0,23,34,1561,25.6
0,23,34,1562,24.9
0,23,34,1563,30.9
0,23,34,1564,26.1
0,23,34,1565,26.3
0,23,34,1566,28.4
0,23,34,1567,27.3
0,23,34,1568,31.4
0,23,34,1569,28.5
0,23,34,1570,28.5
0,23,34,1571,29.1
0,23,34,1572,23.2
0,23,34,1573,25.4
0,23,34,1574,26.4
0,23,34,1575,31.0
0,23,34,1576,26.6
0,23,34,1577,23.9
0,23,34,1578,25.3
0,23,34,1579,26.7
0,23,34,1580,27.0
0,23,34,1581,24.8
0,23,34,1582,28.6
0,23,34,1583,25.5
0,23,34,1584,27.2
0,23,34,1585,26.7
